id,Date,Ensemble,Licence,Ensemble Area,EID,Transmitter Area,Site,Freq.,Block,TII Main Id (Hex),TII Sub Id (Hex),Serv Label1 ,SId 1 (Hex),LSN 1 (Hex),Serv Label2 ,SId 2 (Hex),LSN 2 (Hex),Serv Label3 ,SId 3 (Hex),LSN 3 (Hex),Serv Label4 ,SId 4 (Hex),LSN 4 (Hex),Serv Label5 ,SId 5 (Hex),LSN 5 (Hex),Serv Label6 ,SId 6 (Hex),LSN 6 (Hex),Serv Label7 ,SId 7 (Hex),LSN 7 (Hex),Serv Label8 ,SId 8 (Hex),LSN 8 (Hex),Serv Label9 ,SId 9 (Hex),LSN 9 (Hex),Serv Label10 ,SId 10 (Hex),LSN 10 (Hex),Serv Label11 ,SId 11 (Hex),LSN 11 (Hex),Serv Label12 ,SId 12 (Hex),LSN 12 (Hex),Serv Label13 ,SId 13 (Hex),LSN 13 (Hex),Serv Label14 ,SId 14 (Hex),LSN 14 (Hex),Serv Label15 ,SId 15 (Hex),LSN 15 (Hex),Serv Label16 ,SId 16 (Hex),LSN 16 (Hex),Serv Label17 ,SId 17 (Hex),LSN 17 (Hex),Serv Label18 ,SId 18 (Hex),LSN 18 (Hex),Serv Label19 ,SId 19 (Hex),LSN 19 (Hex),Serv Label20 ,SId 20 (Hex),LSN 20 (Hex),Serv Label21 ,SId 21 (Hex),LSN 21 (Hex),Serv Label22 ,SId 22 (Hex),LSN 22 (Hex),Serv Label23 ,SId 23 (Hex),LSN 23 (Hex),Serv Label24 ,SId 24 (Hex),LSN 24 (Hex),Serv Label25 ,SId 25 (Hex),LSN 25 (Hex),Serv Label26 ,SId 26 (Hex),LSN 26 (Hex),Serv Label27 ,SId 27 (Hex),LSN 27 (Hex),Serv Label28 ,SId 28 (Hex),LSN 28 (Hex),Serv Label29 ,SId 29 (Hex),LSN 29 (Hex),Serv Label30 ,SId 30 (Hex),LSN 30 (Hex),Serv Label31 ,SId 31 (Hex),LSN 31 (Hex),Serv Label32 ,SId 32 (Hex),LSN 32 (Hex),Data Serv Label1,Data SId 1 (Hex),Data Serv Label2,Data SId 2 (Hex),Data Serv Label3,Data SId 3 (Hex),Data Serv Label4,Data SId 4 (Hex),Data Serv Label5,Data SId 5 (Hex),Data Serv Label6,Data SId 6 (Hex),Data Serv Label7,Data SId 7 (Hex),Data Serv Label8,Data SId 8 (Hex),Data Serv Label9,Data SId 9 (Hex),Data Serv Label10,Data SId 10 (Hex),Data Serv Label11,Data SId 11 (Hex),Data Serv Label12,Data SId 12 (Hex),Data Serv Label13,Data SId 13 (Hex),Data Serv Label14,Data SId 14 (Hex),Data Serv Label15,Data SId 15 (Hex),Multiplex
746150,25/05/2016,Edinburgh,DL000010,Edinburgh,C18A,Athelstaneford,Athelstaneford,229.072,12D,43,15,Forth One,C4B1,,FORTH 2,C3C2,1EA,Heart,C5A9,197 1C1,HITS RADIO UK,C7E1,1E2 1E4,Smooth Radio,C4A2,1B7 1B9 1BA,Capital,C572,196 1AB 1C9,BBC Scotland,C435,181,Magic Chilled,CEE6,,Absolute C Rock,C7C9,,Magic Soul,C3D9,,Absolute Country,CCE7,,Greatest Hits,C9E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18A
746151,10/10/2000,Edinburgh,DL000010,Edinburgh,C18A,West Lothian,Black Hill,229.072,12D,43,8,Forth One,C4B1,,FORTH 2,C3C2,1EA,Heart,C5A9,197 1C1,HITS RADIO UK,C7E1,1E2 1E4,Smooth Radio,C4A2,1B7 1B9 1BA,Capital,C572,196 1AB 1C9,BBC Scotland,C435,181,Magic Chilled,CEE6,,Absolute C Rock,C7C9,,Magic Soul,C3D9,,Absolute Country,CCE7,,Greatest Hits,C9E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18A
746152,02/05/2007,Edinburgh,DL000010,Edinburgh,C18A,Edinburgh South,Braid Hills,229.072,12D,43,12,Forth One,C4B1,,FORTH 2,C3C2,1EA,Heart,C5A9,197 1C1,HITS RADIO UK,C7E1,1E2 1E4,Smooth Radio,C4A2,1B7 1B9 1BA,Capital,C572,196 1AB 1C9,BBC Scotland,C435,181,Magic Chilled,CEE6,,Absolute C Rock,C7C9,,Magic Soul,C3D9,,Absolute Country,CCE7,,Greatest Hits,C9E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18A
746153,11/10/2000,Edinburgh,DL000010,Edinburgh,C18A,Edinburgh,CRAIGKELLY,229.072,12D,43,0C,Forth One,C4B1,,FORTH 2,C3C2,1EA,Heart,C5A9,197 1C1,HITS RADIO UK,C7E1,1E2 1E4,Smooth Radio,C4A2,1B7 1B9 1BA,Capital,C572,196 1AB 1C9,BBC Scotland,C435,181,Magic Chilled,CEE6,,Absolute C Rock,C7C9,,Magic Soul,C3D9,,Absolute Country,CCE7,,Greatest Hits,C9E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18A
746154,12/05/2016,Edinburgh,DL000010,Edinburgh,C18A,Stirling,Earls Hill - DAB,229.072,12D,43,0D,Forth One,C4B1,,FORTH 2,C3C2,1EA,Heart,C5A9,197 1C1,HITS RADIO UK,C7E1,1E2 1E4,Smooth Radio,C4A2,1B7 1B9 1BA,Capital,C572,196 1AB 1C9,BBC Scotland,C435,181,Magic Chilled,CEE6,,Absolute C Rock,C7C9,,Magic Soul,C3D9,,Absolute Country,CCE7,,Greatest Hits,C9E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18A
746155,28/03/2018,Edinburgh,DL000010,Edinburgh,C18A,Edinburgh,EDINBURGH CASTLE,229.072,12D,43,9,Forth One,C4B1,,FORTH 2,C3C2,1EA,Heart,C5A9,197 1C1,HITS RADIO UK,C7E1,1E2 1E4,Smooth Radio,C4A2,1B7 1B9 1BA,Capital,C572,196 1AB 1C9,BBC Scotland,C435,181,Magic Chilled,CEE6,,Absolute C Rock,C7C9,,Magic Soul,C3D9,,Absolute Country,CCE7,,Greatest Hits,C9E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18A
746156,16/11/2000,Edinburgh,DL000010,Edinburgh,C18A,Fife,Knock Hill,229.072,12D,43,7,Forth One,C4B1,,FORTH 2,C3C2,1EA,Heart,C5A9,197 1C1,HITS RADIO UK,C7E1,1E2 1E4,Smooth Radio,C4A2,1B7 1B9 1BA,Capital,C572,196 1AB 1C9,BBC Scotland,C435,181,Magic Chilled,CEE6,,Absolute C Rock,C7C9,,Magic Soul,C3D9,,Absolute Country,CCE7,,Greatest Hits,C9E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18A
746157,12/10/2000,Edinburgh,DL000010,Edinburgh,C18A,Penicuik,PENICUIK,229.072,12D,43,6,Forth One,C4B1,,FORTH 2,C3C2,1EA,Heart,C5A9,197 1C1,HITS RADIO UK,C7E1,1E2 1E4,Smooth Radio,C4A2,1B7 1B9 1BA,Capital,C572,196 1AB 1C9,BBC Scotland,C435,181,Magic Chilled,CEE6,,Absolute C Rock,C7C9,,Magic Soul,C3D9,,Absolute Country,CCE7,,Greatest Hits,C9E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18A
746233,15/05/2001,Leeds,DL000012,Leeds,C18F,Leeds,Beecroft Hill,229.072,12D,3A,9,Grt Hits Leeds,C6C5,1.00E+06,Smooth UK,CACE,,Absolute  C Rock,C7C9,1A1,Magic Chilled,CEE6,,BBC Radio Leeds,CE34,71,Heart Yorkshire,C3A4,,Capital,C370,,Magic Soul,C3D9,,HITS RADIO UK,C3E1,1E2 1E4,Absolute Country,CCE7,,Magic Musicals,CAEA,,Pulse 1,CA86,1F3 1F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18F
746234,13/05/2013,Leeds,DL000012,Leeds,C18F,Leeds,Emley Moor,229.072,12D,3A,1,Grt Hits Leeds,C6C5,1.00E+06,Smooth UK,CACE,,Absolute  C Rock,C7C9,1A1,Magic Chilled,CEE6,,BBC Radio Leeds,CE34,71,Heart Yorkshire,C3A4,,Capital,C370,,Magic Soul,C3D9,,HITS RADIO UK,C3E1,1E2 1E4,Absolute Country,CCE7,,Magic Musicals,CAEA,,Pulse 1,CA86,1F3 1F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C18F
