id,Date,Ensemble,EID,Site,Site Height,Freq.,Block,Aerial height(m),Power(kW),Serv Label1,Serv Label2,Serv Label3,Serv Label4,Serv Label10,Lat,Long
746150,2016-05-25,Edinburgh,C18A,Athelstaneford,175,229.072,12D,18,1000.0,Forth One,FORTH 2,Heart,HITS RADIO UK,Magic Soul,55.974965,-2.776943
746151,2000-10-10,Edinburgh,C18A,Black Hill,275,229.072,12D,155,2399.999,Forth One,FORTH 2,Heart,HITS RADIO UK,Magic Soul,55.860005,-3.873572
746152,2007-05-02,Edinburgh,C18A,Braid Hills,202,229.072,12D,43,977.237,Forth One,FORTH 2,Heart,HITS RADIO UK,Magic Soul,55.912262,-3.200598
746153,2000-10-11,Edinburgh,C18A,CRAIGKELLY,181,229.072,12D,78,5999.997,Forth One,FORTH 2,Heart,HITS RADIO UK,Magic Soul,56.071791,-3.233186
746154,2016-05-12,Edinburgh,C18A,Earls Hill - DAB,410,229.072,12D,49,740.0,Forth One,FORTH 2,Heart,HITS RADIO UK,Magic Soul,56.071792,-4.055753
746155,2018-03-28,Edinburgh,C18A,EDINBURGH CASTLE,121,229.072,12D,18,27.2,Forth One,FORTH 2,Heart,HITS RADIO UK,Magic Soul,55.948651,-3.200764
746157,2000-10-12,Edinburgh,C18A,PENICUIK,248,229.072,12D,43,2500.0,Forth One,FORTH 2,Heart,HITS RADIO UK,Magic Soul,55.819142,-3.194377
746233,2001-05-15,Leeds,C18F,Beecroft Hill,149,229.072,12D,44,977.237,Grt Hits Leeds,Smooth UK,Absolute  C Rock,Magic Chilled,Absolute Country,53.811543,-1.641253
746234,2013-05-13,Leeds,C18F,Emley Moor,256,229.072,12D,271,5000.0,Grt Hits Leeds,Smooth UK,Absolute  C Rock,Magic Chilled,Absolute Country,53.611985,-1.66456
746236,2001-11-14,Leeds,C18F,Morley,120,229.072,12D,59,1000.0,Grt Hits Leeds,Smooth UK,Absolute  C Rock,Magic Chilled,Absolute Country,53.736807,-1.572457
746581,2000-11-21,Tyne & Wear,C188,Burnhope,240,220.352,11C,227,4379.999,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,54.8219,-1.714848
746582,2017-11-23,Tyne & Wear,C188,Cale Cross House,15,220.352,11C,62,300.0,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,54.969789,-1.608675
746583,2016-07-27,Tyne & Wear,C188,DURHAM,100,220.352,11C,27,300.0,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,54.775175,-1.590656
746584,2000-11-15,Tyne & Wear,C188,Fenham,120,220.352,11C,35,1499.999,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,54.978039,-1.662966
746585,2016-07-27,Tyne & Wear,C188,Hendon,10,220.352,11C,42,800.0,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,54.893895,-1.363068
746586,2016-09-19,Tyne & Wear,C188,Kenton TE,120,220.352,11C,21,100.0,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,55.001052,-1.665743
746587,2016-04-26,Tyne & Wear,C188,MORPETH,60,220.352,11C,50,1100.001,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,55.171858,-1.659136
746588,2016-05-26,Tyne & Wear,C188,NEWTON,165,220.352,11C,45,600.0,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,54.982447,-1.945593
746589,2016-08-25,Tyne & Wear,C188,Peppermoor Farm,107,220.352,11C,27,1199.999,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,55.430165,-1.647593
746590,2016-04-05,Tyne & Wear,C188,SHOTLEYFIELD,199,220.352,11C,53,300.0,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,54.873774,-1.899456
746592,2016-06-30,Tyne & Wear,C188,Whitley Bay,40,220.352,11C,26,100.0,METRO Radio,Grt Hits N East,Smooth Radio,HITS RADIO UK,Magic Soul,55.035277,-1.453767
